1st_choice,2nd_choice,3rd_choice,ssc_or_olevel,hsc_or_alevel,medium,ssc_board,hsc_board,registered_program,target_dept
EEE-1,CS-2,,4.19,5,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
ARC-1,BBA-2,,5,4.7,ban,Rajshahi,Rajshahi,ARC,Architecture
EEE-1,ECE-2,,,,ban,,,EEE,ElectricalandElectronicEngr
ARC-1,CSE-2,PHR-3,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
ARC-1,CSE-2,EEE-3,5,,ban,,,ARC,Architecture
ANT-1,BBA-2,LLB-3,5,5,ban,Dhaka,Dhaka,ANT,ESS
CSE-1,ECE-2,,5,4.7,ban,Comilla,Dhaka,CS,ComputerSciandEngr
BBA-1,CSE-2,,4.69,3.3,ban,Jessore,Jessore,BBA,Brac_Business_School
CSE-1,EEE-2,,,,ban,,,CS,ComputerSciandEngr
BBA-1,ARC-2,,,,ban,Dhaka,Dhaka,BBA,Brac_Business_School
EEE-1,ARC-2,,5,4.7,eng,,,EEE,ElectricalandElectronicEngr
BIO-1,BBA-2,,,,ban,,,BBA,Brac_Business_School
PHR-1,CSE-2,,4.88,4.2,ban,Dhaka,Dhaka,PHR,Pharmacy
EEE-1,CSE-2,,5,5,ban,Jessore,Jessore,EEE,ElectricalandElectronicEngr
ARC-1,MIC-2,ANT-3,5,4.25,ban,Barisal,Dhaka,ANT,ESS
CSE-1,ARC-2,,5,3.9,eng-ver,Dhaka,Dhaka,PHR,Pharmacy
LLB-1,ENG-2,,4.63,4.2,eng-ver,Rajshahi,Rajshahi,LLB,School_of_Law
CSE-1,EEE-2,,5,4,ban,Comilla,Comilla,CSE,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,5,eng-ver,Dhaka,Dhaka,CS,ComputerSciandEngr
ECE-1,PHR-2,BIO-3,5,4.7,ban,Dhaka,Dhaka,PHR,Pharmacy
BIO-1,MIC-2,,4.75,4.3,ban,Dhaka,Dhaka,BIO,MNS
CSE-1,ECO-2,EEE-3,5,5,ban,Dhaka,Dhaka,ECO,ESS
BIO-1,ARC-2,,4.88,4.4,ban,Chittagong,Dhaka,BIO,MNS
BBA-1,ECO-2,,,,ban,,,BBA,Brac_Business_School
CSE-1,EEE-2,ECE-3,5,5,ban,Rajshahi,Rajshahi,CS,ComputerSciandEngr
BIO-1,MIC-2,CSE-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
LLB-1,BBA-2,,4.75,5,ban,Rajshahi,Dinajpur,LLB,School_of_Law
MIC-1,PHR-2,ECO-3,4.56,4.9,ban,Dhaka,Dhaka,MIC,MNS
APE-1,ENG-2,,,,ban,,,ECO,ESS
PHR-1,BIO-2,ECE-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
PHR-1,ECE-2,CSE-3,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
BBA-1,ENG-2,,3.94,4.6,ban,Rajshahi,Rajshahi,BBA,Brac_Business_School
PHR-1,CSE-2,MIC-3,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
ARC-1,EEE-2,CSE-3,5,5,ban,Dhaka,Dhaka,ARC,Architecture
ENG-1,BBA-2,LLB-3,5,4.7,ban,Dhaka,Dhaka,ENG,ENH
ECO-1,ARC-2,MIC-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
ARC-1,ECE-2,,5,4.6,ban,Barisal,Dhaka,ARC,Architecture
PHY-1,APE-2,EEE-3,5,4.42,ban,Dhaka,Dhaka,PHY,MNS
CSE-1,CS-2,BIO-3,5,5,ban,Sylhet,Sylhet,BIO,MNS
PHY-1,MAT-2,,4.88,3.8,ban,Jessore,Jessore,ANT,ESS
ECO-1,BBA-2,ENG-3,5,5,ban,Dinajpur,Dinajpur,ECO,ESS
CSE-1,EEE-2,ECE-3,5,4.9,ban,Jessore,Jessore,CS,ComputerSciandEngr
BIO-1,MIC-2,PHR-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
BBA-1,LLB-2,ECO-3,5,4.9,ban,Dhaka,Dhaka,ECO,ESS
ARC-1,BBA-2,,4.4,3.2,ban,Others,Others,ARC,Architecture
BBA-1,LLB-2,,4.56,4.7,ban,Dhaka,Dhaka,BBA,Brac_Business_School
CSE-1,BBA-2,,4.88,3.9,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
ARC-1,CSE-2,MIC-3,5,4.6,ban,Dhaka,Dhaka,ARC,Architecture
MIC-1,CSE-2,EEE-3,5,5,ban,Rajshahi,Rajshahi,MIC,MNS
EEE-1,CSE-2,,4.88,4.2,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
ENG-1,LLB-2,ANT-3,5,4.8,ban,Dhaka,Dhaka,ENG,ENH
PHR-1,MIC-2,BIO-3,5,4.6,ban,Jessore,Dhaka,MIC,MNS
ECE-1,EEE-2,CSE-3,5,4.5,ban,Rajshahi,Rajshahi,ECE,ElectricalandElectronicEngr
ARC-1,CSE-2,EEE-3,5,5,ban,Comilla,Dhaka,ARC,Architecture
ARC-1,BBA-2,CSE-3,4.6,4,eng,,,ARC,Architecture
ARC-1,CSE-2,ECE-3,4.88,4.17,ban,Dhaka,Dhaka,ARC,Architecture
ARC-1,CSE-2,,5,5,ban,Rajshahi,Rajshahi,CS,ComputerSciandEngr
BBA-1,ECO-2,,4.75,4.3,ban,Dhaka,Dhaka,BBA,Brac_Business_School
ARC-1,BIO-2,MIC-3,5,,ban,Dhaka,Dhaka,ARC,Architecture
APE-1,MAT-2,,,,eng-ver,,,APE,MNS
CS-1,CSE-2,,,,ban,,,BBA,Brac_Business_School
BBA-1,ECO-2,,4.81,4.2,ban,Dinajpur,Dinajpur,BBA,Brac_Business_School
PHR-1,CSE-2,EEE-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
BBA-1,ECO-2,ANT-3,4.13,4.08,ban,Dhaka,Dhaka,ANT,ESS
LLB-1,BBA-2,,4.94,5,ban,Dhaka,Dhaka,LLB,School_of_Law
CS-1,MIC-2,,4.94,4.2,ban,Dhaka,Dhaka,MIC,MNS
CSE-1,BBA-2,EEE-3,4.75,4,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
BBA-1,LLB-2,ANT-3,4.19,4.4,ban,Dinajpur,Dinajpur,ANT,ESS
MIC-1,ENG-2,,4.75,4.4,ban,Dhaka,Dhaka,MIC,MNS
BBA-1,ENG-2,,4.69,5,ban,Dhaka,Dhaka,BBA,Brac_Business_School
ARC-1,CSE-2,,,,eng-ver,Dhaka,Dhaka,ARC,Architecture
LLB-1,ENG-2,ANT-3,4.96,4.4,ban,Dhaka,Dhaka,LLB,School_of_Law
EEE-1,CSE-2,,5,5,ban,Chittagong,Chittagong,CS,ComputerSciandEngr
CSE-1,ECE-2,,,,ban,,,CSE,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,5,ban,Dinajpur,Dinajpur,CS,ComputerSciandEngr
CSE-1,EEE-2,,4.88,3.9,ban,Jessore,Jessore,CS,ComputerSciandEngr
LLB-1,BBA-2,ECO-3,4.25,4.4,ban,Dhaka,Dhaka,LLB,School_of_Law
BBA-1,ECO-2,LLB-3,4.31,4.4,ban,Dhaka,Dhaka,LLB,School_of_Law
MAT-1,BBA-2,ECO-3,,,ban,,,ECO,ESS
PHR-1,ENG-2,MIC-3,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
BIO-1,PHR-2,MIC-3,5,3,eng,,,BIO,MNS
ECE-1,EEE-2,CSE-3,5,5,ban,Jessore,Jessore,ECE,ElectricalandElectronicEngr
BBA-1,LLB-2,,4.88,3.9,ban,Dhaka,Dhaka,BBA,Brac_Business_School
EEE-1,ECE-2,PHY-3,4.2,4.5,eng,,,CS,ComputerSciandEngr
EEE-1,ECE-2,,,,ban,,,CS,ComputerSciandEngr
APE-1,CSE-2,EEE-3,,,ban,,,CS,ComputerSciandEngr
CSE-1,ECE-2,,5,5,ban,Chittagong,Chittagong,CSE,ComputerSciandEngr
PHR-1,BIO-2,CSE-3,5,4.5,ban,Dhaka,Comilla,PHR,Pharmacy
LLB-1,ENG-2,,,,ban,,,LLB,School_of_Law
PHR-1,BIO-2,MIC-3,5,5,ban,Comilla,Comilla,BIO,MNS
ENG-1,LLB-2,BBA-3,5,4.1,ban,Rajshahi,Rajshahi,ENG,ENH
ARC-1,PHR-2,CSE-3,5,5,ban,Dhaka,Dhaka,ARC,Architecture
CSE-1,APE-2,PHY-3,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
CSE-1,ECE-2,,5,4.7,ban,Chittagong,Chittagong,CSE,ComputerSciandEngr
BIO-1,ARC-2,,4.88,,ban,Dhaka,Dhaka,BIO,MNS
ECO-1,ENG-2,ARC-3,,,eng-ver,,,ECO,ESS
BIO-1,EEE-2,,5,4.7,ban,Dhaka,Dhaka,BIO,MNS
PHR-1,CSE-2,EEE-3,5,4.4,ban,Barisal,Barisal,PHR,Pharmacy
ARC-1,EEE-2,PHY-3,5,4.33,eng,,,ARC,Architecture
BBA-1,EEE-2,,5,5,eng-ver,Rajshahi,Dinajpur,BBA,Brac_Business_School
BBA-1,LLB-2,,3.75,4.4,ban,Chittagong,Chittagong,BBA,Brac_Business_School
BIO-1,PHR-2,ENG-3,5,5,ban,Dhaka,Dhaka,ENG,ENH
ARC-1,LLB-2,ECO-3,,,ban,,,ARC,Architecture
ANT-1,,,4.5,4.9,ban,Dhaka,Dhaka,ENG,ENH
BBA-1,ENG-2,ECO-3,5,,ban,Dhaka,Dhaka,ENG,ENH
BIO-1,MIC-2,PHY-3,4.67,5,eng,,,BIO,MNS
CSE-1,ARC-2,,5,3.7,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
CSE-1,CS-2,,5,4.8,ban,Dhaka,Dhaka,BBA,Brac_Business_School
BIO-1,MIC-2,ECO-3,5,4.5,ban,Dhaka,Dhaka,BIO,MNS
CSE-1,EEE-2,ECE-3,5,,ban,Comilla,Comilla,CS,ComputerSciandEngr
CSE-1,EEE-2,,5,4.2,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
LLB-1,BIO-2,,5,4.6,ban,Dhaka,Dhaka,LLB,School_of_Law
CSE-1,EEE-2,,4.63,4.2,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
LLB-1,BBA-2,,4.25,4.5,ban,Dhaka,Dhaka,LLB,School_of_Law
ECO-1,BBA-2,,,,ban,,,ECO,ESS
LLB-1,ENG-2,,4.69,4.8,ban,Dhaka,Dhaka,LLB,School_of_Law
PHR-1,BIO-2,,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
ENG-1,ANT-2,LLB-3,4.6,3.5,eng,,,ANT,ESS
CSE-1,CS-2,,4.56,5,ban,Comilla,Dhaka,BBA,Brac_Business_School
LLB-1,ENG-2,,3.94,4.1,ban,Rajshahi,Rajshahi,LLB,School_of_Law
ECE-1,CSE-2,APE-3,5,5,ban,Dhaka,Dhaka,ECE,ElectricalandElectronicEngr
CSE-1,EEE-2,,5,3.9,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
PHR-1,MIC-2,BIO-3,5,5,eng,,,PHR,Pharmacy
CSE-1,EEE-2,APE-3,5,5,ban,Dhaka,Dhaka,APE,MNS
PHR-1,CS-2,EEE-3,5,4.8,ban,Rajshahi,Dhaka,PHR,Pharmacy
ECE-1,CSE-2,EEE-3,4.8,,eng,,,ECE,ElectricalandElectronicEngr
CSE-1,EEE-2,MIC-3,5,3.9,ban,Dhaka,Dhaka,MIC,MNS
ARC-1,EEE-2,,5,4.9,ban,Dhaka,Dhaka,ARC,Architecture
ARC-1,PHR-2,LLB-3,5,5,ban,Rajshahi,Rajshahi,ARC,Architecture
ARC-1,EEE-2,,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
BIO-1,MIC-2,,4.06,4.08,ban,Dhaka,Dhaka,MIC,MNS
CSE-1,EEE-2,,,,ban,,,EEE,ElectricalandElectronicEngr
BIO-1,MIC-2,CSE-3,5,5,ban,,,BIO,MNS
PHR-1,MIC-2,EEE-3,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
ECO-1,ENG-2,,4.38,4.6,ban,Dhaka,Dhaka,ECO,ESS
ARC-1,EEE-2,CSE-3,5,5,ban,Dhaka,Dhaka,ARC,Architecture
CSE-1,MIC-2,PHR-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
CSE-1,EEE-2,BIO-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
BBA-1,ENG-2,LLB-3,4.06,5,ban,Dhaka,Dhaka,LLB,School_of_Law
BBA-1,CSE-2,,5,4.6,ban,Dhaka,Dhaka,BBA,Brac_Business_School
PHR-1,EEE-2,,5,4.8,ban,Dhaka,Dhaka,PHR,Pharmacy
EEE-1,CSE-2,ECE-3,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
BBA-1,LLB-2,,5,5,ban,Chittagong,Dhaka,LLB,School_of_Law
ARC-1,CSE-2,EEE-3,5,,ban,Dhaka,Dhaka,ARC,Architecture
MIC-1,PHR-2,BBA-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
ARC-1,CSE-2,BIO-3,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
ARC-1,EEE-2,APE-3,4.2,4,eng,,,ARC,Architecture
LLB-1,ENG-2,,4.69,4.9,ban,Dhaka,Dhaka,LLB,School_of_Law
MIC-1,BIO-2,EEE-3,5,4.2,ban,Dhaka,Dhaka,MIC,MNS
BIO-1,MIC-2,ANT-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,5,ban,Barisal,Barisal,CS,ComputerSciandEngr
ECE-1,EEE-2,CSE-3,5,5,ban,Jessore,Jessore,ECE,ElectricalandElectronicEngr
EEE-1,ECE-2,CS-3,5,5,ban,Rajshahi,Rajshahi,EEE,ElectricalandElectronicEngr
PHR-1,BIO-2,BBA-3,5,5,ban,Rajshahi,Rajshahi,PHR,Pharmacy
CSE-1,EEE-2,ECE-3,5,4.8,ban,Dhaka,Dhaka,ECO,ESS
ECO-1,ENG-2,BBA-3,4.2,3,eng,,,ECO,ESS
ECE-1,EEE-2,,4.8,4,eng,,,ECE,ElectricalandElectronicEngr
PHR-1,MIC-2,,,,ban,,,PHR,Pharmacy
BBA-1,ECO-2,,5,5,eng-ver,Dhaka,Dhaka,BBA,Brac_Business_School
BBA-1,ENG-2,CS-3,4.56,4.1,ban,Dhaka,Dhaka,ENG,ENH
MAT-1,ENG-2,LLB-3,3.88,,eng-ver,Dhaka,,ENG,ENH
ENG-1,LLB-2,ANT-3,5,5,ban,Dhaka,Dhaka,ENG,ENH
LLB-1,ENG-2,,4.69,4.1,ban,Dhaka,Dhaka,LLB,School_of_Law
BIO-1,,,5,5,ban,Dhaka,Dhaka,BIO,MNS
ECE-1,EEE-2,CS-3,4.42,4,eng,,,ECE,ElectricalandElectronicEngr
ARC-1,CSE-2,,5,5,eng-ver,Rajshahi,Rajshahi,ARC,Architecture
BBA-1,CS-2,,4,,ban,,,BBA,Brac_Business_School
MIC-1,BIO-2,ECO-3,5,4.5,ban,Dhaka,Dhaka,MIC,MNS
PHR-1,ECO-2,,5,4.1,ban,Dhaka,Dhaka,BBA,Brac_Business_School
BBA-1,LLB-2,ENG-3,3.88,3.6,ban,Dhaka,Dhaka,LLB,School_of_Law
CSE-1,EEE-2,,4.94,4.9,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
ARC-1,EEE-2,,5,4,eng,,,ARC,Architecture
BBA-1,ENG-2,,4.88,5,ban,Dhaka,Dhaka,BBA,Brac_Business_School
ECE-1,CSE-2,ARC-3,4.44,4.1,ban,Dhaka,Dhaka,ECE,ElectricalandElectronicEngr
ECE-1,EEE-2,CSE-3,4.94,4.1,ban,Dhaka,Dhaka,ECE,ElectricalandElectronicEngr
CSE-1,EEE-2,APE-3,5,5,ban,Dhaka,Dhaka,APE,MNS
ARC-1,CSE-2,EEE-3,5,5,ban,Dhaka,Dhaka,ARC,Architecture
MAT-1,,,4.63,4.75,ban,Dhaka,Dhaka,MAT,MNS
PHR-1,EEE-2,CSE-3,4.94,4.5,ban,Dhaka,Dhaka,MIC,MNS
LLB-1,BBA-2,,4.69,5,ban,Dhaka,Dhaka,LLB,School_of_Law
BBA-1,ECO-2,,5,5,ban,Dhaka,Dhaka,BBA,Brac_Business_School
ARC-1,EEE-2,ECE-3,3.7,,ban,,,ARC,Architecture
BIO-1,MIC-2,BBA-3,3.5,,ban,Others,Others,BIO,MNS
BBA-1,ECO-2,,,,ban,,,ECO,ESS
MIC-1,BIO-2,ENG-3,5,4.9,ban,Dhaka,Dhaka,MIC,MNS
ENG-1,LLB-2,ANT-3,4.94,4.6,ban,Dhaka,Dhaka,ENG,ENH
MAT-1,APE-2,PHY-3,5,3,eng,,,MAT,MNS
PHR-1,CSE-2,,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
BIO-1,MIC-2,ENG-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
CSE-1,ARC-2,,,,ban,,,CSE,ComputerSciandEngr
CSE-1,EEE-2,ECE-3,5,5,ban,Sylhet,Dhaka,EEE,ElectricalandElectronicEngr
PHR-1,MIC-2,ENG-3,4.56,5,ban,Dhaka,Dhaka,PHR,Pharmacy
ENG-1,LLB-2,BIO-3,4.75,4.3,ban,Dhaka,Dhaka,ENG,ENH
BBA-1,PHR-2,BIO-3,5,5,ban,Rajshahi,Rajshahi,PHR,Pharmacy
LLB-1,ENG-2,BBA-3,4.63,4.5,ban,Dhaka,Dhaka,ENG,ENH
MIC-1,BIO-2,,4.2,2.5,eng,,,MAT,MNS
LLB-1,,,,,ban,,,LLB,School_of_Law
BBA-1,LLB-2,,4.38,4.3,ban,Chittagong,Chittagong,BBA,Brac_Business_School
ECO-1,ENG-2,,,,ban,,,ECO,ESS
PHY-1,CS-2,APE-3,4.88,4.7,ban,Dhaka,Dhaka,PHY,MNS
ENG-1,ANT-2,ARC-3,3.94,3.4,ban,Comilla,Dhaka,ENG,ENH
LLB-1,ARC-2,,5,4.7,ban,Dhaka,Dhaka,LLB,School_of_Law
LLB-1,BBA-2,ENG-3,5,5,ban,Jessore,Jessore,LLB,School_of_Law
MIC-1,BIO-2,CSE-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
PHR-1,EEE-2,,5,4.7,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
ARC-1,EEE-2,CSE-3,5,5,ban,Rajshahi,Dhaka,ARC,Architecture
CSE-1,EEE-2,,5,4.4,ban,Chittagong,Chittagong,CSE,ComputerSciandEngr
ARC-1,BBA-2,ECO-3,5,5,ban,Dhaka,Dhaka,ARC,Architecture
ECO-1,BBA-2,,,,ban,,,ECO,ESS
CSE-1,CS-2,,,,eng-ver,Rajshahi,Dinajpur,CS,ComputerSciandEngr
CSE-1,ECE-2,BBA-3,4.94,4.8,ban,Dinajpur,Dinajpur,CS,ComputerSciandEngr
ECO-1,ARC-2,,4.6,4,eng,,,LLB,School_of_Law
BIO-1,ARC-2,MIC-3,,,ban,,,BIO,MNS
CSE-1,BIO-2,ARC-3,5,5,ban,Dhaka,Dhaka,ENG,ENH
BBA-1,ECO-2,ANT-3,5,5,ban,Dhaka,Dhaka,ANT,ESS
APE-1,EEE-2,,,,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
ECE-1,EEE-2,,5,4,ban,Dhaka,Dhaka,ECE,ElectricalandElectronicEngr
PHR-1,EEE-2,CS-3,5,4.4,ban,Dhaka,Dhaka,PHR,Pharmacy
MIC-1,CSE-2,BIO-3,5,3.9,eng,,,MIC,MNS
ARC-1,CSE-2,,4.56,,eng-ver,Dhaka,Dhaka,CSE,ComputerSciandEngr
MIC-1,ENG-2,,5,,ban,Dhaka,Dhaka,MIC,MNS
ENG-1,BBA-2,,4.6,3,eng,,,ENG,ENH
CSE-1,EEE-2,,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
EEE-1,BBA-2,,5,4.1,ban,Rajshahi,Rajshahi,CSE,ComputerSciandEngr
PHR-1,MIC-2,APE-3,5,5,ban,Jessore,Jessore,APE,MNS
ECO-1,ENG-2,,,,ban,,,ECO,ESS
CSE-1,ECE-2,,5,5,ban,Chittagong,Chittagong,CSE,ComputerSciandEngr
CSE-1,BBA-2,,4.69,4.7,ban,Chittagong,Dhaka,BIO,MNS
ARC-1,MAT-2,,3.6,3,eng,,,MAT,MNS
ENG-1,MIC-2,BBA-3,5,5,ban,Dhaka,Dhaka,ENG,ENH
BBA-1,ECO-2,ENG-3,5,5,ban,Dinajpur,Dhaka,ENG,ENH
BIO-1,MIC-2,BBA-3,4.8,,eng,,,BIO,MNS
ARC-1,CSE-2,PHR-3,5,4.8,ban,Dhaka,Dhaka,PHR,Pharmacy
CSE-1,CS-2,EEE-3,5,5,ban,Dhaka,Dhaka,ANT,ESS
PHR-1,MIC-2,BIO-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
LLB-1,ENG-2,,5,5,ban,Dhaka,Dhaka,LLB,School_of_Law
PHR-1,BIO-2,MIC-3,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
CSE-1,EEE-2,ECE-3,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
ECE-1,BBA-2,PHR-3,5,5,ban,Rajshahi,Rajshahi,ECE,ElectricalandElectronicEngr
CSE-1,ECE-2,,5,5,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
PHR-1,CS-2,MIC-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
MIC-1,BIO-2,ANT-3,4.39,3.83,ban,Dhaka,Comilla,ANT,ESS
ECO-1,BBA-2,CSE-3,4.88,5,ban,Dhaka,Dhaka,ECO,ESS
LLB-1,ECO-2,ENG-3,5,5,ban,Dhaka,Dhaka,LLB,School_of_Law
ENG-1,BBA-2,ECO-3,5,5,ban,Dhaka,Dhaka,ENG,ENH
CSE-1,ECE-2,,3.8,,eng,,,CSE,ComputerSciandEngr
ECE-1,EEE-2,CSE-3,5,4,eng,,,ECE,ElectricalandElectronicEngr
LLB-1,PHR-2,ARC-3,5,4.2,ban,Barisal,Dhaka,LLB,School_of_Law
ENG-1,ECO-2,BBA-3,5,4.5,ban,Dhaka,Dhaka,ENG,ENH
CSE-1,PHR-2,BBA-3,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
CS-1,MIC-2,BBA-3,4.81,4.17,ban,Jessore,Jessore,MIC,MNS
ENG-1,,,4.44,4.7,ban,Dhaka,Dhaka,ENG,ENH
CSE-1,EEE-2,ECE-3,5,5,ban,,,ECE,ElectricalandElectronicEngr
LLB-1,BBA-2,ECO-3,3.4,4.9,ban,Dhaka,Dhaka,LLB,School_of_Law
PHR-1,ARC-2,BBA-3,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
ENG-1,BIO-2,BBA-3,5,4.5,ban,Dhaka,Dhaka,BIO,MNS
ENG-1,ECO-2,LLB-3,4.56,4.8,ban,Dhaka,Dhaka,ENG,ENH
BBA-1,LLB-2,ENG-3,4.69,4.6,ban,Dhaka,Dhaka,LLB,School_of_Law
CSE-1,MIC-2,ECE-3,4.75,4.42,ban,Dhaka,Dhaka,MIC,MNS
BBA-1,CSE-2,,4.44,4.3,eng-ver,Chittagong,Chittagong,BBA,Brac_Business_School
ARC-1,ECE-2,,5,4.1,ban,Rajshahi,Dhaka,ECE,ElectricalandElectronicEngr
BBA-1,ENG-2,,4.5,4.4,ban,Comilla,Dhaka,BBA,Brac_Business_School
EEE-1,CSE-2,,5,4.7,ban,Dinajpur,Rajshahi,EEE,ElectricalandElectronicEngr
ARC-1,APE-2,ECE-3,5,4.6,ban,Dinajpur,Dinajpur,ECE,ElectricalandElectronicEngr
CSE-1,APE-2,EEE-3,5,5,ban,Comilla,Comilla,CS,ComputerSciandEngr
BBA-1,LLB-2,ENG-3,5,5,ban,Dhaka,Dhaka,ENG,ENH
ENG-1,CSE-2,EEE-3,4.94,4.7,ban,Chittagong,Dhaka,ENG,ENH
CSE-1,EEE-2,,,,ban,,,CSE,ComputerSciandEngr
BIO-1,CSE-2,EEE-3,5,3.75,eng,,,BIO,MNS
CSE-1,PHR-2,MIC-3,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
ARC-1,EEE-2,,5,5,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
ENG-1,ANT-2,,3.5,2.5,eng,,,ENG,ENH
EEE-1,CSE-2,,3.6,3,eng,,,BBA,Brac_Business_School
EEE-1,CSE-2,ECE-3,4.94,5,ban,Dhaka,Dhaka,ECE,ElectricalandElectronicEngr
ANT-1,,,4,,eng,,,ANT,ESS
ARC-1,EEE-2,,5,4.5,eng,,,EEE,ElectricalandElectronicEngr
CSE-1,EEE-2,ECE-3,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
ARC-1,CSE-2,PHR-3,5,4,eng,,,ARC,Architecture
BIO-1,MIC-2,PHR-3,5,5,ban,Comilla,Dhaka,BIO,MNS
ARC-1,ECE-2,,4.75,4.9,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
BBA-1,LLB-2,,4.6,3,eng,,,BBA,Brac_Business_School
EEE-1,PHY-2,,,,ban,,,EEE,ElectricalandElectronicEngr
BIO-1,MIC-2,PHR-3,5,5,ban,Jessore,Jessore,BIO,MNS
MIC-1,PHR-2,ARC-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
PHR-1,ENG-2,MIC-3,5,4.92,ban,Dhaka,Dhaka,MIC,MNS
ARC-1,BBA-2,,5,4.4,ban,Dhaka,Dhaka,BBA,Brac_Business_School
ECE-1,PHR-2,,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
LLB-1,BBA-2,ECO-3,5,5,ban,Dhaka,Dhaka,LLB,School_of_Law
CSE-1,EEE-2,,5,4.5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
EEE-1,CSE-2,ECE-3,4.94,4.4,ban,Dhaka,Dhaka,ECE,ElectricalandElectronicEngr
ARC-1,CSE-2,EEE-3,5,5,ban,Chittagong,Chittagong,ARC,Architecture
ARC-1,CSE-2,BBA-3,5,5,ban,Dhaka,Dhaka,ARC,Architecture
EEE-1,CSE-2,,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
ENG-1,ECO-2,,,,ban,,,ENG,ENH
CSE-1,EEE-2,,4.85,4,eng,Others,,CS,ComputerSciandEngr
BIO-1,MIC-2,ECE-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
ARC-1,ECE-2,,5,5,eng,,,ECE,ElectricalandElectronicEngr
ECE-1,PHR-2,BBA-3,5,4.7,ban,Chittagong,Chittagong,PHR,Pharmacy
EEE-1,CSE-2,PHR-3,5,5,ban,Dhaka,Dhaka,PHR,Pharmacy
PHR-1,EEE-2,MIC-3,5,4.8,ban,Dhaka,Dhaka,PHR,Pharmacy
PHR-1,ARC-2,BIO-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
PHR-1,ENG-2,MIC-3,4.69,4.2,eng-ver,,,MIC,MNS
LLB-1,BBA-2,ENG-3,5,4.8,ban,Dhaka,Dhaka,LLB,School_of_Law
PHR-1,MIC-2,BIO-3,5,5,ban,Rajshahi,Rajshahi,PHR,Pharmacy
EEE-1,PHR-2,,5,5,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
CSE-1,EEE-2,ECE-3,5,4.9,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
ECE-1,CSE-2,,5,4.4,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
MIC-1,PHR-2,CSE-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
